Theta: 1.570700
periodo,theta_Calc,theta_Anali
0.050800,1.550860,1.195308
0.050900,1.550782,1.194600
0.051000,1.550704,1.193893
0.051100,1.550625,1.193185
0.051200,1.550547,1.192477
0.051300,1.550468,1.191770
0.051400,1.550390,1.191062
0.051500,1.550311,1.190355
0.051600,1.550231,1.189648
0.051700,1.550152,1.188941
0.051800,1.550073,1.188234
0.051900,1.549993,1.187527
0.052000,1.549914,1.186821
0.052100,1.549834,1.186114
0.052200,1.549754,1.185408
0.052300,1.549674,1.184702
0.052400,1.549593,1.183995
0.052500,1.549513,1.183289
0.052600,1.549432,1.182583
0.052700,1.549352,1.181878
0.052800,1.549271,1.181172
0.052900,1.549190,1.180466
0.053000,1.549108,1.179761
0.053100,1.549027,1.179056
0.053200,1.548945,1.178350
0.053300,1.548864,1.177645
0.053400,1.548782,1.176940
0.053500,1.548700,1.176236
0.053600,1.548618,1.175531
0.053700,1.548536,1.174826
0.053800,1.548453,1.174122
0.053900,1.548371,1.173417
0.054000,1.548288,1.172713
0.054100,1.548205,1.172009
0.054200,1.548122,1.171305
0.054300,1.548039,1.170601
0.054400,1.547955,1.169897
0.054500,1.547872,1.169194
0.054600,1.547788,1.168490
0.054700,1.547704,1.167787
0.054800,1.547620,1.167083
0.054900,1.547536,1.166380
0.055000,1.547452,1.165677
0.055100,1.547368,1.164974
0.055200,1.547283,1.164271
0.055300,1.547198,1.163569
0.055400,1.547114,1.162866
0.055500,1.547029,1.162164
0.055600,1.546943,1.161461
0.055700,1.546858,1.160759
0.055800,1.546773,1.160057
0.055900,1.546687,1.159355
0.056000,1.546601,1.158653
0.056100,1.546515,1.157952
0.056200,1.546429,1.157250
0.056300,1.546343,1.156548
0.056400,1.546257,1.155847
0.056500,1.546170,1.155146
0.056600,1.546083,1.154445
0.056700,1.545997,1.153744
0.056800,1.545910,1.153043
0.056900,1.545822,1.152342
0.057000,1.545735,1.151641
0.057100,1.545648,1.150941
0.057200,1.545560,1.150240
0.057300,1.545472,1.149540
0.057400,1.545385,1.148840
0.057500,1.545296,1.148140
0.057600,1.545208,1.147440
0.057700,1.545120,1.146740
0.057800,1.545031,1.146040
0.057900,1.544943,1.145341
0.058000,1.544854,1.144641
0.058100,1.544765,1.143942
0.058200,1.544676,1.143242
0.058300,1.544587,1.142543
0.058400,1.544497,1.141844
0.058500,1.544408,1.141145
0.058600,1.544318,1.140447
0.058700,1.544228,1.139748
0.058800,1.544138,1.139050
0.058900,1.544048,1.138351
0.059000,1.543958,1.137653
0.059100,1.543867,1.136955
0.059200,1.543777,1.136257
0.059300,1.543686,1.135559
0.059400,1.543595,1.134861
0.059500,1.543504,1.134163
0.059600,1.543413,1.133466
0.059700,1.543321,1.132768
0.059800,1.543230,1.132071
0.059900,1.543138,1.131374
0.060000,1.543046,1.130676
0.060100,1.542954,1.129980
0.060200,1.542862,1.129283
0.060300,1.542770,1.128586
0.060400,1.542677,1.127889
0.060500,1.542585,1.127193
0.060600,1.542492,1.126496
0.060700,1.542399,1.125800
0.060800,1.542306,1.125104
0.060900,1.542213,1.124408
0.061000,1.542119,1.123712
0.061100,1.542026,1.123016
0.061200,1.541932,1.122321
0.061300,1.541839,1.121625
0.061400,1.541745,1.120930
0.061500,1.541650,1.120234
0.061600,1.541556,1.119539
0.061700,1.541462,1.118844
0.061800,1.541367,1.118149
0.061900,1.541273,1.117454
0.062000,1.541178,1.116759
0.062100,1.541083,1.116065
0.062200,1.540988,1.115370
0.062300,1.540892,1.114676
0.062400,1.540797,1.113982
0.062500,1.540701,1.113287
0.062600,1.540605,1.112593
0.062700,1.540509,1.111900
0.062800,1.540413,1.111206
0.062900,1.540317,1.110512
